"Subregion_edit","Year","DOY","IBMR","Observed EC_median","Observed EC_l95","Observed EC_u95","SMSCG Open_median","SMSCG Open_l95","SMSCG Open_u95","SMSCG Tidal Op_median","SMSCG Tidal Op_l95","SMSCG Tidal Op_u95"
"Suisun Marsh",2025,142,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,143,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,144,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,145,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,146,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,147,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,148,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,149,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,150,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,151,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,152,"acartela",NA,NA,NA,0.729798291665956,0.0972285766086222,2.15665296987359,0,0,1.14450366565089
"Suisun Marsh",2025,152,"allcopnaup",NA,NA,NA,21.0078294651753,8.49107735223674,54.4631897101882,90.0401009300918,31.6710804769224,267.768777888506
"Suisun Marsh",2025,152,"daphnia",NA,NA,NA,2.01122190107389,0.873407176773794,4.09164145949093,8.59345142869726,3.96475273394986,17.4316425702513
"Suisun Marsh",2025,152,"euryjuv",NA,NA,NA,75.3553193554678,45.8436492204836,119.740526457089,302.851080673531,173.670647828327,531.094151133752
"Suisun Marsh",2025,152,"eurytem",NA,NA,NA,91.9068299080556,61.5884386327558,149.864086403702,516.08737540579,318.868786480427,857.664720834763
"Suisun Marsh",2025,152,"limno",NA,NA,NA,87.0712077293308,34.9795300117505,204.926550450575,36.3820626198371,13.3455665948329,107.968145817409
"Suisun Marsh",2025,152,"othcalad",NA,NA,NA,280.641924108431,144.10359992508,550.71216317312,943.374228559483,539.277855381911,1750.93503331117
"Suisun Marsh",2025,152,"othcaljuv",NA,NA,NA,3.37531990999581,1.42032708444988,7.76206938385025,10.8294738438145,4.37546483606659,23.7304608746628
"Suisun Marsh",2025,152,"othclad",NA,NA,NA,1.66010605541661,0.976944918020348,2.610408986873,11.2289005917297,7.35499184474291,17.1303145785095
"Suisun Marsh",2025,152,"othcyc",NA,NA,NA,5.83672969563635,3.4310207916211,8.99909754015554,25.0026646120568,14.735165020049,37.9036778392561
"Suisun Marsh",2025,152,"other",NA,NA,NA,5.47836858066923,2.53594486155223,9.66196498262774,3.19800172275385,0.756434456861553,6.68744310069694
"Suisun Marsh",2025,152,"pdiapfor",NA,NA,NA,631.861216469941,380.853240876477,1021.083207498,1837.97031152458,1099.05585777961,2961.65267683785
"Suisun Marsh",2025,152,"pdiapjuv",NA,NA,NA,500.382074986822,297.031542113596,848.434248933573,1888.28852474724,1018.07721899999,3557.24399519369
"Suisun Marsh",2025,153,"acartela",NA,NA,NA,0.812964921333574,0.153867188645447,2.27935455421065,0,0,1.26105458052499
"Suisun Marsh",2025,153,"allcopnaup",NA,NA,NA,20.9589450810845,8.76812972577276,52.8169504549385,90.1809137022721,33.404234390662,255.815289718169
"Suisun Marsh",2025,153,"daphnia",NA,NA,NA,1.98793739881371,0.85866350001719,4.05458153722151,8.47580178703132,3.90154491888839,17.1455596408049
"Suisun Marsh",2025,153,"euryjuv",NA,NA,NA,68.2791418253748,41.9508872553182,107.583032656563,274.469842154991,160.691606806332,472.366699257717
"Suisun Marsh",2025,153,"eurytem",NA,NA,NA,82.0176549166706,55.1988623283042,131.857769899605,453.581269735852,283.564749680912,736.719035229453
"Suisun Marsh",2025,153,"limno",NA,NA,NA,91.2171439817,37.0170073628818,209.496639394039,38.6504323388202,14.5255883397339,110.783267152143
"Suisun Marsh",2025,153,"othcalad",NA,NA,NA,273.272293331035,141.156751822263,518.224795312959,939.239443214718,543.475340967721,1720.11176898181
"Suisun Marsh",2025,153,"othcaljuv",NA,NA,NA,3.38649212058654,1.44667370509083,7.73959140827027,10.775736879777,4.40407224632129,23.2587174873464
"Suisun Marsh",2025,153,"othclad",NA,NA,NA,1.69218733946929,1.00601929289132,2.6253826857071,11.5849416599198,7.612376906064,17.5256278378825
"Suisun Marsh",2025,153,"othcyc",NA,NA,NA,5.76733292221352,3.40660252699082,8.8513516521168,24.8498221515219,14.6211940136064,37.3998332901143
"Suisun Marsh",2025,153,"other",NA,NA,NA,5.71036063569803,2.72162257481289,9.8580007563732,3.29269402947683,0.84724638791817,6.81422151587261
"Suisun Marsh",2025,153,"pdiapfor",NA,NA,NA,648.088362694232,393.631598428215,1046.32835949481,1903.55206269587,1146.74204036288,3049.74892567174
"Suisun Marsh",2025,153,"pdiapjuv",NA,NA,NA,503.665482077454,302.069274163876,847.651657170755,1920.45514679917,1040.89451647412,3573.37601733164
"Suisun Marsh",2025,154,"acartela",NA,NA,NA,0.890873225050874,0.201122226734835,2.41134081580031,0,0,1.39217198989576
"Suisun Marsh",2025,154,"allcopnaup",NA,NA,NA,20.8971065570287,8.99328557798206,51.2171561837369,115.620193847766,44.1734964499216,327.746061693153
"Suisun Marsh",2025,154,"daphnia",NA,NA,NA,1.96486805164229,0.843452691376879,4.01781751342563,10.8258447900902,4.88307433172596,21.779616470932
"Suisun Marsh",2025,154,"euryjuv",NA,NA,NA,62.0438532077468,38.420936835401,96.7289709836186,319.255871948765,187.263728470139,551.578822025503
"Suisun Marsh",2025,154,"eurytem",NA,NA,NA,72.5928125679929,49.4940473345128,115.495037135618,523.142329237485,328.32889241792,844.403674539435
"Suisun Marsh",2025,154,"limno",NA,NA,NA,95.2710271072489,39.1300240694852,211.099306781656,41.6278954719473,15.4384335209369,119.759209395438
"Suisun Marsh",2025,154,"othcalad",NA,NA,NA,262.633598277233,139.226353641755,488.187236717203,1173.08649641409,675.90955260028,2122.47663665647
"Suisun Marsh",2025,154,"othcaljuv",NA,NA,NA,3.41151413263273,1.47790153174482,7.71719758152831,13.2280238426491,5.35138340413294,28.3666857309636
"Suisun Marsh",2025,154,"othclad",NA,NA,NA,1.72656676189095,1.03974801804502,2.64394718280744,15.9785329369136,10.4287248787098,24.1113648051347
"Suisun Marsh",2025,154,"othcyc",NA,NA,NA,5.69300194772552,3.38282245136602,8.68924852825292,31.6400204736688,18.7531588576383,48.7033636838881
"Suisun Marsh",2025,154,"other",NA,NA,NA,5.95153607141614,2.8789065465503,10.198080222444,3.39952216883846,0.60255747863564,7.59954318097563
"Suisun Marsh",2025,154,"pdiapfor",NA,NA,NA,662.983134513886,406.686991123916,1076.2774579748,2432.00250369474,1454.36113450037,3900.17849858075
"Suisun Marsh",2025,154,"pdiapjuv",NA,NA,NA,507.07627255969,304.865195141339,846.648267792059,2467.68730654115,1335.82334572571,4562.8571615808
"Suisun Marsh",2025,155,"acartela",NA,NA,NA,0.978541510344552,0.243432395404225,2.5634395521389,0,0,1.53936520594882
"Suisun Marsh",2025,155,"allcopnaup",NA,NA,NA,20.9360478189016,9.17792143319805,50.4979006136077,117.671246853476,45.3044642655296,323.812345366841
"Suisun Marsh",2025,155,"daphnia",NA,NA,NA,1.94202120191689,0.82842047557579,3.98135148777946,10.6851694124732,4.80861275707096,21.4117152155656
"Suisun Marsh",2025,155,"euryjuv",NA,NA,NA,56.4016599869699,34.896129924323,86.9530345552714,289.824101474087,171.748653449157,496.185670381813
"Suisun Marsh",2025,155,"eurytem",NA,NA,NA,64.540009766688,44.326410617764,101.641223571371,458.868525192801,293.07147664752,733.913586801329
"Suisun Marsh",2025,155,"limno",NA,NA,NA,99.3669677925618,41.5774180838121,215.775645206789,43.9578607819992,16.7812250369702,123.483790974357
"Suisun Marsh",2025,155,"othcalad",NA,NA,NA,254.776261284973,137.494862723549,465.253288951355,1165.4163588705,678.258251529288,2097.76456613167
"Suisun Marsh",2025,155,"othcaljuv",NA,NA,NA,3.43951948801209,1.50795979826754,7.69486810362135,13.0062961881541,5.32948179539068,27.5089394673434
"Suisun Marsh",2025,155,"othclad",NA,NA,NA,1.75977800173295,1.07286601428818,2.66540414985661,16.4162529158313,10.7972187634551,24.4595000585711
"Suisun Marsh",2025,155,"othcyc",NA,NA,NA,5.60960846170212,3.35908061063208,8.55695764866947,31.3420181528884,18.773568920229,48.0516428084157
"Suisun Marsh",2025,155,"other",NA,NA,NA,6.21257636845477,3.0381052907786,10.5585298095181,3.50488421040775,0.716602635446318,7.72697666239862
"Suisun Marsh",2025,155,"pdiapfor",NA,NA,NA,678.838315591652,420.107553365074,1096.14170742664,2509.6145276264,1519.23678618753,3985.39073857669
"Suisun Marsh",2025,155,"pdiapjuv",NA,NA,NA,510.534474010915,307.008881156974,847.088982677624,2498.20724928026,1361.39868365215,4615.31191328023
"Suisun Marsh",2025,156,"acartela",NA,NA,NA,1.06654728922092,0.286821211724662,2.72688301044065,0,0,1.69590918006715
"Suisun Marsh",2025,156,"allcopnaup",NA,NA,NA,20.9958640521087,9.21216691333391,49.7981604794418,117.751882002736,46.9469872195911,322.642422686634
"Suisun Marsh",2025,156,"daphnia",NA,NA,NA,1.92646897200886,0.814951153474703,3.94518543748521,10.5558082157297,4.7349183278024,21.0496329352852
"Suisun Marsh",2025,156,"euryjuv",NA,NA,NA,51.0739371163573,31.6811586636043,78.2923679484531,263.060902222977,158.741779882473,445.319523371057
"Suisun Marsh",2025,156,"eurytem",NA,NA,NA,57.3549161524638,39.7828081631705,89.8114310855185,402.648065913655,260.535499847213,635.258428416113
"Suisun Marsh",2025,156,"limno",NA,NA,NA,104.199617352588,43.950722004568,224.285524398095,46.4854428701795,18.3912558598134,128.009918524441
"Suisun Marsh",2025,156,"othcalad",NA,NA,NA,248.366533169236,135.087742601065,445.80129558289,1154.97962935114,682.622902491183,2060.90325400064
"Suisun Marsh",2025,156,"othcaljuv",NA,NA,NA,3.44438530448701,1.53505964379932,7.60682074368771,12.7745130675667,5.27866363171895,26.7708523206244
"Suisun Marsh",2025,156,"othclad",NA,NA,NA,1.79738739022472,1.11073701031032,2.70201462557348,16.9468310469264,11.2669298767263,24.8749879837381
"Suisun Marsh",2025,156,"othcyc",NA,NA,NA,5.53485733951906,3.33489437868022,8.41909869411385,30.99037983779,18.7938116143329,47.2729103193136
"Suisun Marsh",2025,156,"other",NA,NA,NA,6.49756178060553,3.21740180166846,10.8997931592575,3.62944453000802,0.82738962144786,7.87675278028107
"Suisun Marsh",2025,156,"pdiapfor",NA,NA,NA,690.985259620051,435.131775822477,1114.55778651491,2587.72059389617,1574.41572057736,4100.02959473423
"Suisun Marsh",2025,156,"pdiapjuv",NA,NA,NA,512.999947147444,308.570984063222,845.275994958843,2539.5075599113,1390.86218578671,4645.89791517705
"Suisun Marsh",2025,157,"acartela",NA,NA,NA,1.25727569280547,0.394726910230939,3.02124895690355,0,0,1.86158718510999
"Suisun Marsh",2025,157,"allcopnaup",NA,NA,NA,19.182635864639,8.64111326658865,43.8817740315432,119.013211875575,48.9883085221493,315.964018880229
"Suisun Marsh",2025,157,"daphnia",NA,NA,NA,1.75167376599072,0.73626715117012,3.59549556263512,10.3610700937705,4.66198190050183,20.7280179641981
"Suisun Marsh",2025,157,"euryjuv",NA,NA,NA,42.4999238483989,26.5507566578678,64.4916154005244,239.287050911835,145.579599332916,398.574129601548
"Suisun Marsh",2025,157,"eurytem",NA,NA,NA,45.6580475535376,32.2922951109422,71.169356875696,353.129109751468,231.361623624307,554.257892137545
"Suisun Marsh",2025,157,"limno",NA,NA,NA,121.409268289829,49.9593507311059,250.801567494763,49.4851388792391,19.7476812863704,132.144007276061
"Suisun Marsh",2025,157,"othcalad",NA,NA,NA,222.500635157182,122.779812484985,395.225244672498,1154.10327018075,686.180005397792,2013.36774568749
"Suisun Marsh",2025,157,"othcaljuv",NA,NA,NA,3.34327409763272,1.50131178238242,7.35944436221312,12.6473104280145,5.22290126638263,26.39436554192
"Suisun Marsh",2025,157,"othclad",NA,NA,NA,1.60189731939625,0.987922092186277,2.41714874817512,17.5065580076902,11.755137906244,25.4269992535495
"Suisun Marsh",2025,157,"othcyc",NA,NA,NA,4.99858707947213,3.05694172914783,7.60520638603487,30.7664923138478,18.8077810596109,46.2997902781346
"Suisun Marsh",2025,157,"other",NA,NA,NA,7.13817943868166,3.57607952235595,12.0684001378352,3.76152893239581,0.917152467677113,7.95241267825592
"Suisun Marsh",2025,157,"pdiapfor",NA,NA,NA,663.1781969966,425.261591298215,1074.50987550688,2667.28201554577,1621.15966276236,4217.05509584543
"Suisun Marsh",2025,157,"pdiapjuv",NA,NA,NA,478.932100803129,288.045639265898,777.20520423409,2585.33836484649,1418.79847923284,4680.36660322978
"Suisun Marsh",2025,158,"acartela",NA,NA,NA,1.36465791792663,0.453008797830568,3.21777293196933,0,0,1.96886277256766
"Suisun Marsh",2025,158,"allcopnaup",NA,NA,NA,18.8868036682281,8.83206415668318,42.890472798886,120.370852224088,50.0189810071706,309.903266717726
"Suisun Marsh",2025,158,"daphnia",NA,NA,NA,1.73357695241109,0.72647712693898,3.55845434448497,10.2082947546956,4.58979438960506,20.4634732907844
"Suisun Marsh",2025,158,"euryjuv",NA,NA,NA,38.4755317506297,24.0626089064271,58.4263520890813,217.651394859542,132.986304111986,359.388424587955
"Suisun Marsh",2025,158,"eurytem",NA,NA,NA,40.6442208048348,28.6646270144729,62.9599516228828,309.471205537348,205.64537145301,483.716284375587
"Suisun Marsh",2025,158,"limno",NA,NA,NA,126.627175324259,52.7789230269371,258.045741713161,52.5330075501269,21.3974266514918,139.481077318124
"Suisun Marsh",2025,158,"othcalad",NA,NA,NA,214.300051290044,120.772276993221,377.435687761972,1149.80156478293,685.563054743034,1980.3745630133
"Suisun Marsh",2025,158,"othcaljuv",NA,NA,NA,3.3629562281439,1.53151238224747,7.24893323498377,12.5021339400916,5.16487167985954,25.8414078260631
"Suisun Marsh",2025,158,"othclad",NA,NA,NA,1.63490046195654,1.02337641805619,2.42433849445244,18.0123174875279,12.2306237773958,26.0177478362415
"Suisun Marsh",2025,158,"othcyc",NA,NA,NA,4.94752425060984,3.0339501770916,7.45664089054873,30.6317614706972,18.7033284147187,45.764911741734
"Suisun Marsh",2025,158,"other",NA,NA,NA,7.42528248559465,3.79806372458446,12.4905929089895,3.82688186539978,1.02464355930572,8.02152230415782
"Suisun Marsh",2025,158,"pdiapfor",NA,NA,NA,678.095513004544,440.500215011974,1096.66713527793,2749.23061047223,1694.59327627775,4338.67223734984
