Lifestage,Taxname,IBMR,Taxlifestage
Undifferentiated,Harpacticoida,othcyc,Harpacticoida Undifferentiated
Adult,Hebridae,other,Hebridae Adult
Undifferentiated,Hediste limnicola,other,Hediste limnicola Undifferentiated
Adult,Hemiptera,other,Hemiptera Adult
Adult,Hemiptera,other,Hemiptera Adult
Adult,Hemiptera,other,Hemiptera Adult
Adult,Hesperodiaptomus,othcalad,Hesperodiaptomus Adult
Adult,Hesperodiaptomus californiensis,othcalad,Hesperodiaptomus californiensis Adult
Adult,Hesperodiaptomus franciscanus,othcalad,Hesperodiaptomus franciscanus Adult
Undifferentiated,Hirudinea,other,Hirudinea Undifferentiated
Adult,Holopedium,othclad,Holopedium Adult
Adult,Homocyclops,othcyc,Homocyclops Adult
Adult,Hyalella,other,Hyalella Adult
Adult,Hydra,other,Hydra Adult
Adult,Hydrachnidia,other,Hydrachnidia Adult
Adult,Hydraenidae,other,Hydraenidae Adult
Adult,Hydrobiidae,other,Hydrobiidae Adult
Adult,Hydrometridae,other,Hydrometridae Adult
Adult,Hydrophilidae,other,Hydrophilidae Adult
Larva,Hydrophilidae,other,Hydrophilidae Larva
Adult,Hydroptilidae,other,Hydroptilidae Adult
Larva,Hydroptilidae,other,Hydroptilidae Larva
Pupa,Hydroptilidae,other,Hydroptilidae Pupa
Adult,Hydroscaphidae,other,Hydroscaphidae Adult
Adult,Hymenoptera,other,Hymenoptera Adult
Adult,Hyperacanthomysis longirostris,mysid,Hyperacanthomysis longirostris Adult
Adult,Hyperacanthomysis longirostris,mysid,Hyperacanthomysis longirostris Adult
Adult,Ilyocryptus,othclad,Ilyocryptus Adult
Undifferentiated,Ilyocryptus,othclad,Ilyocryptus Undifferentiated
Larva,Insecta,other,Insecta Larva
Larva,Insecta,other,Insecta Larva
Undifferentiated,Insecta,other,Insecta Undifferentiated
Adult,Isopoda,other,Isopoda Adult
Adult,Isopoda,other,Isopoda Adult
Juvenile,Isopoda,other,Isopoda Juvenile
Undifferentiated,Isopoda,other,Isopoda Undifferentiated
Adult,Kellicottia,other,Kellicottia Adult
Adult,Keratella,other,Keratella Adult
Undifferentiated,Kurzia,othclad,Kurzia Undifferentiated
Adult,Latona,othclad,Latona Adult
Adult,Lepidoptera,other,Lepidoptera Adult
Larva,Lepidoptera,other,Lepidoptera Larva
Pupa,Lepidoptera,other,Lepidoptera Pupa
Adult,Leptodiaptomus siciloides,othcalad,Leptodiaptomus siciloides Adult
Undifferentiated,Leptodora,othclad,Leptodora Undifferentiated
Adult,Lernaea,othcyc,Lernaea Adult
Undifferentiated,Leydigia,othclad,Leydigia Undifferentiated
Larva,Libellulidae,other,Libellulidae Larva
Adult,Ligidium lates??,other,Ligidium lates?? Adult
Adult,Limnoithona,limno,Limnoithona Adult
Juvenile,Limnoithona,othcyc,Limnoithona Juvenile
Adult,Limnoithona sinensis,limno,Limnoithona sinensis Adult
Undifferentiated,Limnoithona sinensis,othcyc,Limnoithona sinensis Undifferentiated
Adult,Limnoithona tetraspina,limno,Limnoithona tetraspina Adult
Undifferentiated,Lumbricidae,other,Lumbricidae Undifferentiated
Adult,Lymnaea,other,Lymnaea Adult
Adult,Macrocyclops,othcyc,Macrocyclops Adult
Adult,Macrocyclops albidus,othcyc,Macrocyclops albidus Adult
Adult,Macrothricidae,othclad,Macrothricidae Adult
Undifferentiated,Macrothricidae,othclad,Macrothricidae Undifferentiated
Undifferentiated,Maeotias,other,Maeotias Undifferentiated
Undifferentiated,Malacostraca,other,Malacostraca Undifferentiated
Adult,Melanoides tuberculata,other,Melanoides tuberculata Adult
Adult,Melita,other,Melita Adult
Adult,Mesocyclops,othcyc,Mesocyclops Adult
Adult,Mesocyclops edax,othcyc,Mesocyclops edax Adult
Adult,Mesoveliidae,other,Mesoveliidae Adult
Adult,Microcyclops,othcyc,Microcyclops Adult
Adult,Microcyclops rubellus,othcyc,Microcyclops rubellus Adult
Adult,Moina,othclad,Moina Adult
Undifferentiated,Moina,othclad,Moina Undifferentiated
Undifferentiated,Mollusca,other,Mollusca Undifferentiated
Adult,Monocorophium,other,Monocorophium Adult
Undifferentiated,Monospilus,othclad,Monospilus Undifferentiated
Adult,Monospilus dispar,othclad,Monospilus dispar Adult
Adult,Munnidae,other,Munnidae Adult
Larva,Muscidae,other,Muscidae Larva
Adult,Mysida,mysid,Mysida Adult
Juvenile,Mysida,mysid,Mysida Juvenile
Undifferentiated,Mysidae,mysid,Mysidae Undifferentiated
Undifferentiated,Nematoda,other,Nematoda Undifferentiated
Undifferentiated,Nemertea,other,Nemertea Undifferentiated
Adult,Neomysis kadiakensis,mysid,Neomysis kadiakensis Adult
Adult,Neomysis mercedis,mysid,Neomysis mercedis Adult
Adult,Nepidae,other,Nepidae Adult
Adult,Noteridae,other,Noteridae Adult
Undifferentiated,Nudibranchia,other,Nudibranchia Undifferentiated
Adult,Odonata,other,Odonata Adult
Larva,Odonata,other,Odonata Larva
Adult,Oedicerotidae,other,Oedicerotidae Adult
Adult,Oithona,othcyc,Oithona Adult
Juvenile,Oithona,othcyc,Oithona Juvenile
Adult,Oithona davisae,othcyc,Oithona davisae Adult
Adult,Oithona similis,othcyc,Oithona similis Adult
Undifferentiated,Oligochaeta,other,Oligochaeta Undifferentiated
Adult,Orientomysis aspera,mysid,Orientomysis aspera Adult
Adult,Orientomysis hwanhaiensis,mysid,Orientomysis hwanhaiensis Adult
Adult,Orthoptera,other,Orthoptera Adult
Juvenile,Osphranticum,othcaljuv,Osphranticum Juvenile
Adult,Osphranticum labronectum,othcalad,Osphranticum labronectum Adult
Adult,Ostracoda,other,Ostracoda Adult
Undifferentiated,Ostracoda,other,Ostracoda Undifferentiated
Adult,Pacifastacus,other,Pacifastacus Adult
Adult,Palaemon,other,Palaemon Adult
Adult,Palaemon,other,Palaemon Adult
Adult,Palaemon,other,Palaemon Adult
Adult,Paracyclops,othcyc,Paracyclops Adult
Adult,Paracyclops chiltoni,othcyc,Paracyclops chiltoni Adult
Adult,Paracyclops fimbriatus,othcyc,Paracyclops fimbriatus Adult
Adult,Paracyclops poppei,othcyc,Paracyclops poppei Adult
Adult,Pectinatella magnifica,other,Pectinatella magnifica Adult
Adult,Physa,other,Physa Adult
Undifferentiated,Picripleuroxus,othclad,Picripleuroxus Undifferentiated
Adult,Planorbella,other,Planorbella Adult
Adult,Planorbidae,other,Planorbidae Adult
Adult,Platycyclops phaleratus,othcyc,Platycyclops phaleratus Adult
Adult,Platycyclops phaleratus,othcyc,Platycyclops phaleratus Adult
Juvenile,Platycyclops phaleratus,othcyc,Platycyclops phaleratus Juvenile
Adult,Platyias,other,Platyias Adult
Undifferentiated,Pleuroxus,othclad,Pleuroxus Undifferentiated
Adult,Pleustidae,other,Pleustidae Adult
Adult,Polyarthra,other,Polyarthra Adult
Larva,Polycentropodidae,other,Polycentropodidae Larva
Undifferentiated,Polychaeta,other,Polychaeta Undifferentiated
Adult,Potamocorbula amurensis,other,Potamocorbula amurensis Adult
Undifferentiated,Prostoma,other,Prostoma Undifferentiated
Undifferentiated,Pseudochydorus,othclad,Pseudochydorus Undifferentiated
Undifferentiated,Pseudochydorus globosus,othclad,Pseudochydorus globosus Undifferentiated
Larva,Pseudodiaptomus,allcopnaup,Pseudodiaptomus Larva
Juvenile,Pseudodiaptomus,pdiapjuv,Pseudodiaptomus Juvenile
Adult,Pseudodiaptomus,pdiapfor,Pseudodiaptomus Adult
Adult,Pseudodiaptomus euryhalinus,othcalad,Pseudodiaptomus euryhalinus Adult
Adult,Pseudodiaptomus forbesi,pdiapfor,Pseudodiaptomus forbesi Adult
Undifferentiated,Pseudodiaptomus forbesi,pdiapfor,Pseudodiaptomus forbesi Undifferentiated
Juvenile,Pseudodiaptomus forbesi,pdiapjuv,Pseudodiaptomus forbesi Juvenile
Adult,Pseudodiaptomus marinus,othcalad,Pseudodiaptomus marinus Adult
Adult,Psocoptera,other,Psocoptera Adult
Larva,Psocoptera,other,Psocoptera Larva
Larva,Psychodidae,other,Psychodidae Larva
Adult,Psyllidae,other,Psyllidae Adult
Larva,Psyllidae,other,Psyllidae Larva
Adult,Ptiliidae,other,Ptiliidae Adult
Adult,Rhithropanopeus harrisii,other,Rhithropanopeus harrisii Adult
Adult,Rotifera,other,Rotifera Adult
Adult,Rotifera,other,Rotifera Adult
Undifferentiated,Rotifera,other,Rotifera Undifferentiated
Adult,Scapholeberis,othclad,Scapholeberis Adult
Undifferentiated,Scapholeberis,othclad,Scapholeberis Undifferentiated
Larva,Sciomyzidae,other,Sciomyzidae Larva
Adult,Scirtidae,other,Scirtidae Adult
Adult,Scolytus,other,Scolytus Adult
Adult,Sida,othclad,Sida Adult
Undifferentiated,Sida,othclad,Sida Undifferentiated
Adult,Simocephalus,othclad,Simocephalus Adult
Undifferentiated,Simocephalus,othclad,Simocephalus Undifferentiated
Larva,Simuliidae,other,Simuliidae Larva
Larva,Sinocalanus,allcopnaup,Sinocalanus Larva
Juvenile,Sinocalanus,othcaljuv,Sinocalanus Juvenile
Larva,Sinocalanus doerrii,allcopnaup,Sinocalanus doerrii Larva
Adult,Sinocalanus doerrii,othcalad,Sinocalanus doerrii Adult
Adult,Sinocalanus doerrii,othcalad,Sinocalanus doerrii Adult
Undifferentiated,Sinocalanus doerrii,othcalad,Sinocalanus doerrii Undifferentiated
Juvenile,Sinocalanus doerrii,othcaljuv,Sinocalanus doerrii Juvenile
Adult,Sinocorophium alienense,other,Sinocorophium alienense Adult
Larva,Sisyridae,other,Sisyridae Larva
Adult,Skistodiaptomus,othcalad,Skistodiaptomus Adult
Adult,Skistodiaptomus pallidus,othcalad,Skistodiaptomus pallidus Adult
Adult,Staphylinidae,other,Staphylinidae Adult
Larva,Stratiomyidae,other,Stratiomyidae Larva
Undifferentiated,Stylaria,other,Stylaria Undifferentiated
Adult,Synchaeta,other,Synchaeta Adult
Adult,Synchaeta bicornis,other,Synchaeta bicornis Adult
Larva,Tabanidae,other,Tabanidae Larva
Adult,Talitridae,other,Talitridae Adult
Undifferentiated,Tanaidacea,other,Tanaidacea Undifferentiated
Adult,Tardigrada,other,Tardigrada Adult
Undifferentiated,Tardigrada,other,Tardigrada Undifferentiated
Undifferentiated,Teleostei,other,Teleostei Undifferentiated
Adult,Tenebrionidae,other,Tenebrionidae Adult
Adult,Thysanoptera,other,Thysanoptera Adult
Larva,Tipulidae,other,Tipulidae Larva
Adult,Tortanus,othcalad,Tortanus Adult
Juvenile,Tortanus,othcaljuv,Tortanus Juvenile
Juvenile,Tortanus,othcaljuv,Tortanus Juvenile
Adult,Tortanus dextrilobatus,othcalad,Tortanus dextrilobatus Adult
Adult,Tortanus discaudatus,othcalad,Tortanus discaudatus Adult
Adult,Trichocerca,other,Trichocerca Adult
Adult,Trichoptera,other,Trichoptera Adult
Larva,Trichoptera,other,Trichoptera Larva
Larva,Trichoptera,other,Trichoptera Larva
Larva,Tricorythidae,other,Tricorythidae Larva
Larva,Tricorythodes minutus,other,Tricorythodes minutus Larva
Adult,Tropocyclops,othcyc,Tropocyclops Adult
Adult,Tropocyclops prasinus,othcyc,Tropocyclops prasinus Adult
Egg,UNID,other,UNID Egg
Adult,UnID Invertebrate,other,UnID Invertebrate Adult
Adult,Veliidae,other,Veliidae Adult
